# year, no_of_titles, sub_style
,3.00,"Instrumental Rock"
,1.00,"Noise-Rock"
,1.00,"Punk"
,1.00,"Christian Metal"
,4.00,"Rock &amp; Roll"
,1.00,"Alternative Pop/Rock"
,1.00,"House"
,3.00,"New Wave"
,2.00,"Garage Rock"
,1.00,"Lo-Fi"
,1.00,"Disco"
,1.00,"Swamp Pop"
,2.00,"Hardcore Punk"
,1.00,"Psychedelic"
,1.00,"British Folk-Rock"
,1.00,"Folk-Rock"
,1.00,"French Pop"
,1.00,"Experimental Rock"
,1.00,"Neo-Classical Metal"
,1.00,"New Romantic"
,1.00,"Space Rock"
,2.00,"Indie Electronic"
,1.00,"Alternative Dance"
,1.00,"Hard Rock"
,1.00,"British Invasion"
,1.00,"Garage Punk"
,1.00,"Power Pop"
,2.00,"Hi-NRG"
,1.00,"Prog-Rock/Art Rock"
,1.00,"Club/Dance"
,1.00,"British Metal"
,1.00,"Avant-Prog"
,1.00,"Pop"
,9.00,"Rockabilly"
,2.00,"Christian Rock"
,4.00,"Girl Group"
,2.00,"Surf"
,1.00,"Pop/Rock"
,4.00,"Indie Pop"
,1.00,"Queercore"
,2.00,"Heavy Metal"
"1951",2.00,"Rock &amp; Roll"
"1953",1.00,"Rock &amp; Roll"
"1956",2.00,"Pop"
"1956",2.00,"Pop/Rock"
"1956",2.00,"Rockabilly"
"1956",4.00,"Rock &amp; Roll"
"1957",2.00,"Rock &amp; Roll"
"1957",1.00,"French Pop"
"1957",1.00,"Teen Idol"
"1958",2.00,"Rock &amp; Roll"
"1958",1.00,"Instrumental Rock"
"1958",1.00,"French Pop"
"1959",1.00,"Early British Pop/Rock"
"1959",1.00,"Cocktail"
"1959",1.00,"Folk-Pop"
"1959",1.00,"Rock &amp; Roll"
"1959",1.00,"Garage Rock"
"1960",1.00,"Hot Rod"
"1960",2.00,"Rockabilly"
"1960",1.00,"Folk-Pop"
"1960",3.00,"Rock &amp; Roll"
"1960",1.00,"Brill Building Pop"
"1960",1.00,"Surf"
"1960",1.00,"Obscuro"
"1961",1.00,"Brill Building Pop"
"1961",1.00,"Rockabilly"
"1961",2.00,"Rock &amp; Roll"
"1962",1.00,"British Blues"
"1962",1.00,"Rock &amp; Roll"
"1962",1.00,"Pop/Rock"
"1962",1.00,"Brill Building Pop"
"1962",1.00,"Garage Rock"
"1962",3.00,"Girl Group"
"1962",1.00,"Teen Idol"
"1962",1.00,"Instrumental Rock"
"1962",2.00,"Folk-Pop"
"1963",1.00,"Pop"
"1963",3.00,"Folk-Pop"
"1963",1.00,"British Folk-Rock"
"1963",1.00,"Hot Rod"
"1963",3.00,"Rock &amp; Roll"
"1963",2.00,"British Invasion"
"1963",2.00,"Frat Rock"
"1963",2.00,"Merseybeat"
"1963",2.00,"Instrumental Rock"
"1963",5.00,"Girl Group"
"1963",3.00,"Surf"
"1964",4.00,"British Blues"
"1964",5.00,"Rock &amp; Roll"
"1964",5.00,"Merseybeat"
"1964",3.00,"Folk-Rock"
"1964",1.00,"Pop"
"1964",10.00,"British Invasion"
"1964",6.00,"Blues-Rock"
"1964",1.00,"Hot Rod"
"1964",3.00,"Instrumental Rock"
"1964",3.00,"Folk-Pop"
"1964",2.00,"Girl Group"
"1964",4.00,"Surf"
"1964",2.00,"Garage Rock"
"1965",2.00,"Merseybeat"
"1965",1.00,"Garage Rock"
"1965",3.00,"Blues-Rock"
"1965",1.00,"Freakbeat"
"1965",1.00,"Pop"
"1965",1.00,"Instrumental Rock"
"1965",3.00,"Girl Group"
"1965",14.00,"British Invasion"
"1965",1.00,"Frat Rock"
"1965",2.00,"Surf"
"1965",5.00,"British Blues"
"1965",1.00,"Singer/Songwriter"
"1965",8.00,"Rock &amp; Roll"
"1965",10.00,"Folk-Rock"
"1965",2.00,"Folk-Pop"
"1965",1.00,"Pop/Rock"
"1966",1.00,"Mod"
"1966",1.00,"Freestyle"
"1966",1.00,"Instrumental Rock"
"1966",2.00,"Girl Group"
"1966",7.00,"British Invasion"
"1966",6.00,"Blues-Rock"
"1966",2.00,"Psychedelic Pop"
"1966",3.00,"Detroit Rock"
"1966",1.00,"Proto-Punk"
"1966",4.00,"British Blues"
"1966",1.00,"Album Rock"
"1966",18.00,"Folk-Rock"
"1966",1.00,"Country-Rock"
"1966",8.00,"Sunshine Pop"
"1966",2.00,"Obscuro"
"1966",9.00,"Rock &amp; Roll"
"1966",9.00,"Psychedelic"
"1966",4.00,"Pop/Rock"
"1966",1.00,"Baroque Pop"
"1966",2.00,"Pop"
"1966",2.00,"Folk-Pop"
"1966",2.00,"Singer/Songwriter"
"1966",2.00,"Comedy Rock"
"1966",1.00,"Bubblegum"
"1966",3.00,"British Psychedelia"
"1966",2.00,"Frat Rock"
"1966",1.00,"Merseybeat"
"1966",14.00,"Garage Rock"
"1966",1.00,"Experimental Rock"
"1967",2.00,"Country-Rock"
"1967",1.00,"Detroit Rock"
"1967",5.00,"Rock &amp; Roll"
"1967",5.00,"Bubblegum"
"1967",6.00,"British Invasion"
"1967",4.00,"Album Rock"
"1967",5.00,"Blues-Rock"
"1967",4.00,"Prog-Rock/Art Rock"
"1967",4.00,"Proto-Punk"
"1967",1.00,"Celebrity"
"1967",1.00,"Mod"
"1967",2.00,"Pop"
"1967",1.00,"Brill Building Pop"
"1967",29.00,"Psychedelic"
"1967",8.00,"Pop/Rock"
"1967",3.00,"Experimental Rock"
"1967",7.00,"Psychedelic Pop"
"1967",10.00,"Sunshine Pop"
"1967",2.00,"British Blues"
"1967",3.00,"Instrumental Rock"
"1967",1.00,"Singer/Songwriter"
"1967",3.00,"Hard Rock"
"1967",3.00,"Girl Group"
"1967",1.00,"British Folk-Rock"
"1967",8.00,"British Psychedelia"
"1967",8.00,"Garage Rock"
"1967",17.00,"Folk-Rock"
"1967",4.00,"Baroque Pop"
"1968",6.00,"Country-Rock"
"1968",5.00,"Sunshine Pop"
"1968",4.00,"Acid Rock"
"1968",1.00,"Canterbury Scene"
"1968",4.00,"British Invasion"
"1968",2.00,"Heavy Metal"
"1968",4.00,"Obscuro"
"1968",1.00,"Celebrity"
"1968",3.00,"Comedy Rock"
"1968",6.00,"Hard Rock"
"1968",4.00,"Album Rock"
"1968",2.00,"Soft Rock"
"1968",3.00,"Pop/Rock"
"1968",4.00,"Experimental Rock"
"1968",8.00,"Prog-Rock/Art Rock"
"1968",1.00,"Freakbeat"
"1968",4.00,"Pop"
"1968",2.00,"Singer/Songwriter"
"1968",3.00,"Rock &amp; Roll"
"1968",13.00,"British Psychedelia"
"1968",5.00,"British Folk-Rock"
"1968",1.00,"Garage Rock"
"1968",1.00,"French Pop"
"1968",3.00,"Foreign Language Rock"
"1968",10.00,"Blues-Rock"
"1968",2.00,"Detroit Rock"
"1968",6.00,"British Blues"
"1968",1.00,"Girl Group"
"1968",1.00,"Bubblegum"
"1968",28.00,"Psychedelic"
"1968",7.00,"Folk-Rock"
"1968",5.00,"Baroque Pop"
"1968",6.00,"Psychedelic Pop"
"1969",1.00,"Sunshine Pop"
"1969",3.00,"Singer/Songwriter"
"1969",1.00,"British Invasion"
"1969",8.00,"Psychedelic"
"1969",4.00,"Pop/Rock"
"1969",6.00,"Baroque Pop"
"1969",14.00,"Blues-Rock"
"1969",7.00,"Psychedelic Pop"
"1969",6.00,"Country-Rock"
"1969",5.00,"Obscuro"
"1969",6.00,"British Blues"
"1969",1.00,"Pop"
"1969",9.00,"Rock &amp; Roll"
"1969",1.00,"Roots Rock"
"1969",2.00,"Soft Rock"
"1969",6.00,"British Folk-Rock"
"1969",1.00,"Foreign Language Rock"
"1969",2.00,"Heavy Metal"
"1969",2.00,"Kraut Rock"
"1969",1.00,"Acid Rock"
"1969",4.00,"Proto-Punk"
"1969",1.00,"Boogie Rock"
"1969",1.00,"Tex-Mex"
"1969",1.00,"Girl Group"
"1969",6.00,"Bubblegum"
"1969",3.00,"British Psychedelia"
"1969",15.00,"Album Rock"
"1969",15.00,"Folk-Rock"
"1969",3.00,"Detroit Rock"
"1969",2.00,"British Metal"
"1969",1.00,"AM Pop"
"1969",9.00,"Hard Rock"
"1969",1.00,"Southern Rock"
"1969",4.00,"Experimental Rock"
"1969",11.00,"Prog-Rock/Art Rock"
"1970",5.00,"Proto-Punk"
"1970",1.00,"Comedy Rock"
"1970",3.00,"Singer/Songwriter"
"1970",12.00,"Rock &amp; Roll"
"1970",1.00,"Southern Rock"
"1970",27.00,"Album Rock"
"1970",5.00,"Psychedelic"
"1970",6.00,"Soft Rock"
"1970",1.00,"Power Pop"
"1970",2.00,"Experimental Rock"
"1970",1.00,"Foreign Language Rock"
"1970",2.00,"Psychedelic Pop"
"1970",3.00,"Kraut Rock"
"1970",4.00,"British Metal"
"1970",1.00,"AM Pop"
"1970",2.00,"British Blues"
"1970",1.00,"Folk-Pop"
"1970",6.00,"Bubblegum"
"1970",2.00,"British Psychedelia"
"1970",1.00,"New Wave"
"1970",12.00,"Folk-Rock"
"1970",14.00,"Prog-Rock/Art Rock"
"1970",11.00,"Country-Rock"
"1970",6.00,"Detroit Rock"
"1970",4.00,"Boogie Rock"
"1970",17.00,"Hard Rock"
"1970",5.00,"British Folk-Rock"
"1970",1.00,"Euro-Pop"
"1970",9.00,"Pop/Rock"
"1970",1.00,"French Pop"
"1970",1.00,"Sunshine Pop"
"1970",1.00,"Pop"
"1970",1.00,"Instrumental Rock"
"1970",3.00,"Canterbury Scene"
"1970",2.00,"Glam Rock"
"1970",1.00,"Baroque Pop"
"1970",15.00,"Blues-Rock"
"1970",4.00,"Heavy Metal"
"1971",6.00,"British Metal"
"1971",2.00,"British Blues"
"1971",2.00,"Instrumental Rock"
"1971",11.00,"Singer/Songwriter"
"1971",20.00,"Hard Rock"
"1971",1.00,"Psychedelic"
"1971",5.00,"British Folk-Rock"
"1971",18.00,"Pop/Rock"
"1971",1.00,"French Pop"
"1971",1.00,"Experimental Rock"
"1971",1.00,"Foreign Language Rock"
"1971",2.00,"Country-Rock"
"1971",8.00,"Kraut Rock"
"1971",1.00,"Obscuro"
"1971",6.00,"Proto-Punk"
"1971",32.00,"Album Rock"
"1971",13.00,"Soft Rock"
"1971",5.00,"Folk-Rock"
"1971",15.00,"Blues-Rock"
"1971",20.00,"Prog-Rock/Art Rock"
"1971",1.00,"Detroit Rock"
"1971",1.00,"Acid Rock"
"1971",2.00,"Power Pop"
"1971",2.00,"Glam Rock"
"1971",9.00,"Heavy Metal"
"1971",4.00,"Boogie Rock"
"1971",10.00,"Rock &amp; Roll"
"1971",4.00,"Southern Rock"
"1971",3.00,"Canterbury Scene"
"1971",1.00,"French Rock"
"1972",7.00,"Kraut Rock"
"1972",3.00,"Pub Rock"
"1972",1.00,"British Psychedelia"
"1972",1.00,"Roots Rock"
"1972",12.00,"Soft Rock"
"1972",5.00,"Glam Rock"
"1972",8.00,"Folk-Rock"
"1972",7.00,"Heavy Metal"
"1972",4.00,"Country-Rock"
"1972",5.00,"British Metal"
"1972",10.00,"Singer/Songwriter"
"1972",1.00,"Christian Rock"
"1972",1.00,"Power Pop"
"1972",1.00,"Garage Rock"
"1972",1.00,"Baroque Pop"
"1972",14.00,"Blues-Rock"
"1972",2.00,"Detroit Rock"
"1972",4.00,"Boogie Rock"
"1972",1.00,"Pop"
"1972",4.00,"Southern Rock"
"1972",2.00,"Canterbury Scene"
"1972",5.00,"British Folk-Rock"
"1972",3.00,"Experimental Rock"
"1972",6.00,"Proto-Punk"
"1972",1.00,"Disco"
"1972",10.00,"Rock &amp; Roll"
"1972",16.00,"Hard Rock"
"1972",29.00,"Album Rock"
"1972",1.00,"Psychedelic"
"1972",13.00,"Pop/Rock"
"1972",24.00,"Prog-Rock/Art Rock"
"1973",2.00,"Country-Rock"
"1973",4.00,"Detroit Rock"
"1973",1.00,"Acid Rock"
"1973",1.00,"Obscuro"
"1973",4.00,"Boogie Rock"
"1973",1.00,"Disco"
"1973",1.00,"Teen Idol"
"1973",36.00,"Album Rock"
"1973",7.00,"Soft Rock"
"1973",1.00,"New York Punk"
"1973",4.00,"Singer/Songwriter"
"1973",9.00,"Rock &amp; Roll"
"1973",9.00,"Southern Rock"
"1973",1.00,"Canterbury Scene"
"1973",10.00,"Pop/Rock"
"1973",5.00,"Experimental Rock"
"1973",8.00,"Blues-Rock"
"1973",1.00,"Arena Rock"
"1973",4.00,"British Metal"
"1973",1.00,"Swamp Pop"
"1973",1.00,"Bubblegum"
"1973",1.00,"Psychedelic"
"1973",1.00,"Power Pop"
"1973",8.00,"Heavy Metal"
"1973",33.00,"Prog-Rock/Art Rock"
"1973",5.00,"Kraut Rock"
"1973",1.00,"Glitter"
"1973",7.00,"Proto-Punk"
"1973",4.00,"Pop"
"1973",21.00,"Hard Rock"
"1973",2.00,"Pub Rock"
"1973",3.00,"British Folk-Rock"
"1973",10.00,"Glam Rock"
"1973",3.00,"Folk-Rock"
"1973",1.00,"Foreign Language Rock"
"1974",4.00,"Kraut Rock"
"1974",1.00,"Obscuro"
"1974",6.00,"Proto-Punk"
"1974",2.00,"Comedy Rock"
"1974",1.00,"Christian Rock"
"1974",1.00,"Bubblegum"
"1974",2.00,"Canterbury Scene"
"1974",1.00,"Power Pop"
"1974",1.00,"New York Punk"
"1974",1.00,"Detroit Rock"
"1974",1.00,"Arena Rock"
"1974",2.00,"Boogie Rock"
"1974",4.00,"Disco"
"1974",3.00,"Singer/Songwriter"
"1974",5.00,"Southern Rock"
"1974",2.00,"Pub Rock"
"1974",1.00,"British Psychedelia"
"1974",10.00,"Glam Rock"
"1974",22.00,"Prog-Rock/Art Rock"
"1974",2.00,"British Metal"
"1974",1.00,"AM Pop"
"1974",1.00,"Pop"
"1974",1.00,"Roots Rock"
"1974",7.00,"Soft Rock"
"1974",1.00,"British Folk-Rock"
"1974",1.00,"Euro-Pop"
"1974",4.00,"Folk-Rock"
"1974",8.00,"Pop/Rock"
"1974",3.00,"Experimental Rock"
"1974",1.00,"Foreign Language Rock"
"1974",5.00,"Heavy Metal"
"1974",5.00,"Country-Rock"
"1974",1.00,"Glitter"
"1974",1.00,"British Blues"
"1974",11.00,"Hard Rock"
"1974",4.00,"Rock &amp; Roll"
"1974",1.00,"Adult Contemporary"
"1974",24.00,"Album Rock"
"1974",6.00,"Blues-Rock"
"1974",1.00,"Swedish Pop/Rock"
"1975",2.00,"Kraut Rock"
"1975",2.00,"New York Punk"
"1975",1.00,"Bubblegum"
"1975",26.00,"Album Rock"
"1975",4.00,"Folk-Rock"
"1975",9.00,"Heavy Metal"
"1975",1.00,"American Punk"
"1975",4.00,"Proto-Punk"
"1975",1.00,"Boogie Rock"
"1975",1.00,"Punk"
"1975",1.00,"Canterbury Scene"
"1975",1.00,"Heartland Rock"
"1975",1.00,"Power Pop"
"1975",2.00,"Experimental Rock"
"1975",15.00,"Prog-Rock/Art Rock"
"1975",7.00,"Country-Rock"
"1975",1.00,"Detroit Rock"
"1975",3.00,"British Metal"
"1975",7.00,"Disco"
"1975",12.00,"Hard Rock"
"1975",6.00,"Rock &amp; Roll"
"1975",4.00,"Southern Rock"
"1975",1.00,"British Folk-Rock"
"1975",2.00,"Urban"
"1975",1.00,"Arena Rock"
"1975",3.00,"Singer/Songwriter"
"1975",1.00,"Guitar Virtuoso"
"1975",6.00,"Pub Rock"
"1975",7.00,"Soft Rock"
"1975",3.00,"Glam Rock"
"1975",11.00,"Pop/Rock"
"1975",3.00,"Blues-Rock"
"1976",3.00,"Detroit Rock"
"1976",4.00,"Arena Rock"
"1976",1.00,"Boogie Rock"
"1976",1.00,"Tex-Mex"
"1976",1.00,"Rockabilly"
"1976",1.00,"Guitar Virtuoso"
"1976",8.00,"Rock &amp; Roll"
"1976",12.00,"Hard Rock"
"1976",3.00,"Southern Rock"
"1976",41.00,"Album Rock"
"1976",1.00,"Heartland Rock"
"1976",1.00,"Glam Rock"
"1976",12.00,"Heavy Metal"
"1976",6.00,"Country-Rock"
"1976",1.00,"Bar Band"
"1976",16.00,"Disco"
"1976",1.00,"Folk-Pop"
"1976",3.00,"Pub Rock"
"1976",2.00,"Canterbury Scene"
"1976",1.00,"Garage Rock"
"1976",2.00,"Folk-Rock"
"1976",10.00,"Pop/Rock"
"1976",1.00,"Experimental Rock"
"1976",2.00,"Kraut Rock"
"1976",1.00,"AM Pop"
"1976",2.00,"Punk"
"1976",1.00,"Teen Idol"
"1976",1.00,"Euro-Dance"
"1976",1.00,"Roots Rock"
"1976",7.00,"Soft Rock"
"1976",1.00,"Hi-NRG"
"1976",2.00,"Blues-Rock"
"1976",19.00,"Prog-Rock/Art Rock"
"1976",1.00,"New York Punk"
"1976",2.00,"Proto-Punk"
"1976",4.00,"British Metal"
"1976",1.00,"College Rock"
"1976",4.00,"Singer/Songwriter"
"1976",2.00,"Aussie Rock"
"1976",2.00,"Power Pop"
"1976",1.00,"New Wave of British Heavy Metal"
"1977",1.00,"British Metal"
"1977",1.00,"Bar Band"
"1977",13.00,"Disco"
"1977",3.00,"Singer/Songwriter"
"1977",11.00,"Hard Rock"
"1977",3.00,"Aussie Rock"
"1977",4.00,"Power Pop"
"1977",2.00,"New Wave of British Heavy Metal"
"1977",10.00,"Pop/Rock"
"1977",3.00,"Experimental Rock"
"1977",3.00,"Blues-Rock"
"1977",6.00,"New York Punk"
"1977",1.00,"AM Pop"
"1977",1.00,"Indie Electronic"
"1977",2.00,"Rock &amp; Roll"
"1977",1.00,"Girl Group"
"1977",1.00,"Bubblegum"
"1977",3.00,"Southern Rock"
"1977",1.00,"Psychedelic"
"1977",4.00,"British Folk-Rock"
"1977",1.00,"Hi-NRG"
"1977",1.00,"Swedish Pop/Rock"
"1977",1.00,"Kraut Rock"
"1977",2.00,"Detroit Rock"
"1977",6.00,"Arena Rock"
"1977",4.00,"Proto-Punk"
"1977",2.00,"Boogie Rock"
"1977",1.00,"Industrial"
"1977",1.00,"Mod Revival"
"1977",5.00,"New Wave"
"1977",8.00,"Soft Rock"
"1977",7.00,"Heavy Metal"
"1977",15.00,"Prog-Rock/Art Rock"
"1977",2.00,"Country-Rock"
"1977",6.00,"American Punk"
"1977",14.00,"Punk"
"1977",3.00,"Pub Rock"
"1977",1.00,"Euro-Dance"
"1977",3.00,"Post-Punk"
"1977",30.00,"Album Rock"
"1978",1.00,"Boogie Rock"
"1978",1.00,"Pop"
"1978",12.00,"Disco"
"1978",9.00,"Rock &amp; Roll"
"1978",3.00,"Southern Rock"
"1978",1.00,"Roots Rock"
"1978",9.00,"Power Pop"
"1978",2.00,"Experimental Rock"
"1978",2.00,"Detroit Rock"
"1978",2.00,"Bar Band"
"1978",2.00,"Avant-Prog"
"1978",1.00,"Industrial"
"1978",4.00,"Singer/Songwriter"
"1978",1.00,"Mod Revival"
"1978",7.00,"Post-Punk"
"1978",9.00,"Prog-Rock/Art Rock"
"1978",2.00,"Kraut Rock"
"1978",3.00,"American Punk"
"1978",4.00,"Arena Rock"
"1978",1.00,"British Metal"
"1978",11.00,"Hard Rock"
"1978",1.00,"Adult Contemporary"
"1978",31.00,"Album Rock"
"1978",2.00,"Aussie Rock"
"1978",13.00,"New Wave"
"1978",1.00,"Pop-Metal"
"1978",8.00,"Soft Rock"
"1978",14.00,"Pop/Rock"
"1978",2.00,"Blues-Rock"
"1978",5.00,"Heavy Metal"
"1978",3.00,"Urban"
"1978",2.00,"Country-Rock"
"1978",5.00,"New York Punk"
"1978",1.00,"L.A. Punk"
"1978",8.00,"Punk"
"1978",5.00,"Pub Rock"
"1978",2.00,"Heartland Rock"
"1978",1.00,"British Folk-Rock"
"1978",1.00,"New Wave of British Heavy Metal"
"1978",1.00,"Euro-Pop"
"1978",1.00,"Garage Rock"
"1978",1.00,"Swedish Pop/Rock"
"1979",1.00,"Country-Rock"
"1979",2.00,"New York Punk"
"1979",6.00,"Arena Rock"
"1979",3.00,"British Metal"
"1979",2.00,"Industrial"
"1979",1.00,"Instrumental Rock"
"1979",3.00,"New Wave of British Heavy Metal"
"1979",6.00,"Experimental Rock"
"1979",1.00,"Proto-Punk"
"1979",1.00,"American Underground"
"1979",7.00,"Southern Rock"
"1979",2.00,"Pub Rock"
"1979",21.00,"New Wave"
"1979",1.00,"Heartland Rock"
"1979",4.00,"Soft Rock"
"1979",1.00,"Dance-Pop"
"1979",2.00,"Blues-Rock"
"1979",1.00,"Roots Rock"
"1979",2.00,"No Wave"
"1979",1.00,"Bar Band"
"1979",7.00,"Disco"
"1979",2.00,"Synth Pop"
"1979",13.00,"Punk"
"1979",14.00,"Hard Rock"
"1979",1.00,"Hardcore Punk"
"1979",1.00,"Adult Contemporary"
"1979",17.00,"Post-Punk"
"1979",2.00,"Aussie Rock"
"1979",8.00,"Power Pop"
"1979",3.00,"Garage Rock"
"1979",1.00,"Folk-Rock"
"1979",10.00,"Pop/Rock"
"1979",7.00,"Heavy Metal"
"1979",13.00,"Prog-Rock/Art Rock"
"1979",2.00,"American Punk"
"1979",1.00,"New Romantic"
"1979",2.00,"Boogie Rock"
"1979",7.00,"Rock &amp; Roll"
"1979",1.00,"Alternative Pop/Rock"
"1979",2.00,"Mod Revival"
"1979",27.00,"Album Rock"
"1979",3.00,"Psychedelic"
"1979",2.00,"Ska Revival"
"1979",3.00,"Hi-NRG"
"1979",1.00,"Garage Rock Revival"
"1979",4.00,"Urban"
"197?",1.00,"Rockabilly"
"1980",4.00,"Synth Pop"
"1980",3.00,"Adult Contemporary"
"1980",1.00,"Psychedelic"
"1980",1.00,"British Folk-Rock"
"1980",2.00,"Ska Revival"
"1980",7.00,"New Wave of British Heavy Metal"
"1980",1.00,"Garage Rock"
"1980",4.00,"Prog-Rock/Art Rock"
"1980",3.00,"New Romantic"
"1980",2.00,"Detroit Rock"
"1980",2.00,"Rockabilly"
"1980",6.00,"Rock &amp; Roll"
"1980",4.00,"Mod Revival"
"1980",1.00,"Roots Rock"
"1980",1.00,"Pop-Metal"
"1980",1.00,"Indie Pop"
"1980",1.00,"Swedish Pop/Rock"
"1980",1.00,"Country-Rock"
"1980",2.00,"Jangle Pop"
"1980",3.00,"Bar Band"
"1980",1.00,"Singer/Songwriter"
"1980",1.00,"Guitar Virtuoso"
"1980",7.00,"Hard Rock"
"1980",3.00,"Hardcore Punk"
"1980",34.00,"Album Rock"
"1980",1.00,"Aussie Rock"
"1980",2.00,"Heartland Rock"
"1980",7.00,"Soft Rock"
"1980",1.00,"Euro-Pop"
"1980",12.00,"Pop/Rock"
"1980",1.00,"Psychobilly"
"1980",1.00,"Neo-Classical Metal"
"1980",3.00,"American Punk"
"1980",1.00,"Anarchist Punk"
"1980",2.00,"Arena Rock"
"1980",2.00,"British Metal"
"1980",4.00,"College Rock"
"1980",3.00,"American Underground"
"1980",2.00,"Industrial"
"1980",4.00,"Disco"
"1980",1.00,"Tex-Mex"
"1980",2.00,"Rockabilly Revival"
"1980",5.00,"Punk"
"1980",5.00,"Alternative Pop/Rock"
"1980",2.00,"Pub Rock"
"1980",21.00,"Post-Punk"
"1980",25.00,"New Wave"
"1980",3.00,"Power Pop"
"1980",2.00,"Goth Rock"
"1980",6.00,"Experimental Rock"
"1980",2.00,"Blues-Rock"
"1980",11.00,"Heavy Metal"
"1981",2.00,"Anarchist Punk"
"1981",4.00,"Punk"
"1981",6.00,"Hardcore Punk"
"1981",16.00,"Post-Punk"
"1981",1.00,"Urban"
"1981",10.00,"Soft Rock"
"1981",4.00,"Power Pop"
"1981",1.00,"Ska Revival"
"1981",1.00,"Garage Rock"
"1981",3.00,"Experimental Rock"
"1981",1.00,"Country-Rock"
"1981",1.00,"Club/Dance"
"1981",3.00,"American Punk"
"1981",3.00,"British Metal"
"1981",2.00,"Industrial"
"1981",3.00,"Rockabilly"
"1981",16.00,"Hard Rock"
"1981",1.00,"Southern Rock"
"1981",1.00,"Thrash"
"1981",32.00,"Album Rock"
"1981",9.00,"New Wave of British Heavy Metal"
"1981",4.00,"Dance-Pop"
"1981",1.00,"Euro-Pop"
"1981",9.00,"Pop/Rock"
"1981",1.00,"Skatepunk"
"1981",2.00,"Roots Rock"
"1981",4.00,"New Romantic"
"1981",2.00,"Detroit Rock"
"1981",2.00,"Jangle Pop"
"1981",1.00,"Punk Metal"
"1981",7.00,"Arena Rock"
"1981",6.00,"College Rock"
"1981",1.00,"Rockabilly Revival"
"1981",2.00,"Rock &amp; Roll"
"1981",3.00,"Alternative Pop/Rock"
"1981",2.00,"Adult Contemporary"
"1981",4.00,"Pub Rock"
"1981",1.00,"Canterbury Scene"
"1981",18.00,"New Wave"
"1981",2.00,"Psychobilly"
"1981",17.00,"Heavy Metal"
"1981",1.00,"Swedish Pop/Rock"
"1981",2.00,"L.A. Punk"
"1981",2.00,"No Wave"
"1981",1.00,"Avant-Prog"
"1981",4.00,"American Underground"
"1981",3.00,"Disco"
"1981",5.00,"Synth Pop"
"1981",1.00,"Aussie Rock"
"1981",1.00,"Heartland Rock"
"1981",3.00,"Pop-Metal"
"1981",2.00,"Goth Rock"
"1981",1.00,"Neo-Classical Metal"
"1981",1.00,"Blues-Rock"
"1981",7.00,"Prog-Rock/Art Rock"
"1982",2.00,"New York Punk"
"1982",1.00,"American Punk"
"1982",2.00,"British Metal"
"1982",1.00,"Instrumental Rock"
"1982",1.00,"Punk-Pop"
"1982",3.00,"Rock &amp; Roll"
"1982",3.00,"Heartland Rock"
"1982",5.00,"Soft Rock"
"1982",2.00,"British Folk-Rock"
"1982",3.00,"Ska Revival"
"1982",3.00,"Goth Rock"
"1982",2.00,"Euro-Pop"
"1982",1.00,"Indie Pop"
"1982",2.00,"Blues-Rock"
"1982",7.00,"New Romantic"
"1982",1.00,"Paisley Underground"
"1982",9.00,"American Underground"
"1982",3.00,"Industrial"
"1982",11.00,"Synth Pop"
"1982",1.00,"Comedy Rock"
"1982",3.00,"British Invasion"
"1982",1.00,"Pop-Metal"
"1982",5.00,"New Wave of British Heavy Metal"
"1982",15.00,"Pop/Rock"
"1982",1.00,"Psychobilly"
"1982",11.00,"Heavy Metal"
"1982",6.00,"Prog-Rock/Art Rock"
"1982",1.00,"L.A. Punk"
"1982",1.00,"Goth Metal"
"1982",5.00,"College Rock"
"1982",1.00,"Disco"
"1982",1.00,"Dream Pop"
"1982",1.00,"Rockabilly"
"1982",6.00,"Punk"
"1982",9.00,"Hardcore Punk"
"1982",1.00,"Southern Rock"
"1982",1.00,"Thrash"
"1982",7.00,"Post-Punk"
"1982",1.00,"Death Metal/Black Metal"
"1982",1.00,"Surf"
"1982",7.00,"Garage Rock"
"1982",3.00,"Experimental Rock"
"1982",5.00,"Urban"
"1982",2.00,"Jangle Pop"
"1982",2.00,"Bar Band"
"1982",1.00,"Rockabilly Revival"
"1982",1.00,"Singer/Songwriter"
"1982",2.00,"Hard Rock"
"1982",3.00,"Adult Contemporary"
"1982",2.00,"Roots Rock"
"1982",20.00,"Album Rock"
"1982",2.00,"Psychedelic"
"1982",23.00,"New Wave"
"1982",1.00,"Power Pop"
"1982",3.00,"Dance-Pop"
"1982",3.00,"Folk-Rock"
"1983",4.00,"L.A. Punk"
"1983",5.00,"American Punk"
"1983",4.00,"Jangle Pop"
"1983",3.00,"Arena Rock"
"1983",2.00,"Bar Band"
"1983",1.00,"Pop"
"1983",1.00,"Disco"
"1983",1.00,"Southern Rock"
"1983",1.00,"Thrash"
"1983",1.00,"Teen Pop"
"1983",6.00,"Soft Rock"
"1983",1.00,"Frat Rock"
"1983",2.00,"Dance-Pop"
"1983",1.00,"Neo-Prog"
"1983",1.00,"Skatepunk"
"1983",1.00,"New Romantic"
"1983",1.00,"Punk Metal"
"1983",4.00,"Industrial"
"1983",1.00,"Alternative Dance"
"1983",3.00,"Punk"
"1983",5.00,"Hard Rock"
"1983",8.00,"Alternative Pop/Rock"
"1983",1.00,"Girl Group"
"1983",1.00,"Canterbury Scene"
